set,value
s51011,0.08857053518295288
s51012,0.0810609832406044
s51013,0.07686856389045715
s51112,6.57055716146715e-05
s51113,5.479602259583771e-05
s51213,0.00011821783846244216
s678,0.016054250299930573
s679,0.0008883532718755305
s6710,0.5880098342895508
s6711,0.00021650633425451815
s6712,0.00017831011791713536
s6713,0.00020911666797474027
s689,0.021072331815958023
s6810,0.3580515682697296
s6811,0.013359705917537212
s6812,0.018002601340413094
s6813,0.009965297766029835
s6910,0.8417293429374695
s6911,0.0025259500835090876
s6912,0.0038428616244345903
s6913,0.002268880605697632
s61011,0.5810598731040955
s61012,0.46882784366607666
s61013,0.5475777387619019
s61112,0.00021129361994098872
s61113,0.00022514502052217722
s61213,0.00021614399156533182
s789,0.00454647745937109
s7810,0.0937938243150711
s7811,0.0076826284639537334
s7812,0.005530190654098988
s7813,0.005296357907354832
s7910,0.08364056795835495
s7911,0.00010612208279781044
s7912,7.546140113845468e-05
s7913,8.00561610958539e-05
s71011,0.10110598802566528
s71012,0.053607452660799026
s71013,0.07725583016872406
s71112,5.012278415961191e-05
s71113,4.0222686948254704e-05
s71213,3.874805406667292e-05
s8910,0.04320742189884186
s8911,0.003348161233589053
s8912,0.0030962424352765083
s8913,0.0024295782204717398
s81011,0.07650605589151382
s81012,0.052477672696113586
s81013,0.05282881110906601
s81112,0.0045009395107626915
s81113,0.005748738069087267
s81213,0.0033180932514369488
s91011,0.08083610236644745
s91012,0.06758120656013489
s91013,0.07421129196882248
s91112,7.745364564470947e-05
s91113,4.3062929762527347e-05
s91213,0.00015478341083507985
s101112,0.07078210264444351
s101113,0.0562262199819088
s101213,0.0657259151339531
s111213,3.243330502300523e-05
s0123,0.17758458852767944
s0124,0.00015948624059092253
s0125,9.308386506745592e-05
s0126,0.000649403955321759
s0127,3.4784570743795484e-05
s0128,0.01678614132106304
s0129,0.00016682795831002295
s01210,0.07095231115818024
s01211,7.679942063987255e-05
s01212,9.188824333250523e-05
s01213,4.461896241991781e-05
s0134,0.25679677724838257
s0135,0.1173207014799118
s0136,0.558670699596405
s0137,0.059992626309394836
s0138,0.08967644721269608
s0139,0.10044243186712265
s01310,0.6859264373779297
s01311,0.08011791855096817
