set,value
s126,0.0009227218106389046
s127,0.01561451330780983
s128,0.05880067124962807
s129,0.0009211505530402064
s1210,0.006914753466844559
s1211,0.009218359366059303
s1212,0.0060571832582354546
s1213,0.0066151088103652
s134,0.05001990124583244
s135,0.0002363922103540972
s136,0.0001576573122292757
s137,0.02490544132888317
s138,0.019415518268942833
s139,3.1816194677958265e-05
s1310,0.00043587887194007635
s1311,0.0004759541479870677
s1312,0.0002637173456605524
s1313,0.0005062728305347264
s145,0.018514210358262062
s146,0.4425465166568756
s147,0.28113293647766113
s148,0.24023614823818207
s149,0.021940702572464943
s1410,0.03278660401701927
s1411,0.02871818095445633
s1412,0.017214255407452583
s1413,0.04681943356990814
s156,0.0024498493876308203
s157,0.010056763887405396
s158,0.0726507306098938
s159,0.0014793177833780646
s1510,0.0035002052318304777
s1511,0.004958914127200842
s1512,0.0033239147160202265
s1513,0.0028731629718095064
s167,0.018741346895694733
s168,0.00904619600623846
s169,0.000903343316167593
s1610,0.00039792165625840425
s1611,0.0003699766530189663
s1612,0.00027038875850848854
s1613,0.0007499099592678249
s178,0.22328399121761322
s179,0.013611137866973877
s1710,0.039603687822818756
s1711,0.05196361988782883
s1712,0.03452138602733612
s1713,0.04725445806980133
s189,0.03572893515229225
s1810,0.06720665842294693
s1811,0.042625341564416885
s1812,0.02067902497947216
s1813,0.06187726557254791
s1910,0.0003324536664877087
s1911,0.0006881530862301588
s1912,0.0004937951453030109
s1913,0.0005990844219923019
s11011,0.002381431171670556
s11012,0.004145713057368994
s11013,0.004183701705187559
s11112,0.0034679833333939314
s11113,0.005997352302074432
s11213,0.0037518651224672794
s234,0.025967217981815338
s235,0.0006393531803041697
s236,0.000750541512388736
s237,0.41605597734451294
s238,0.16157591342926025
s239,0.00018801911210175604
s2310,0.0027625474613159895
s2311,0.002684729639440775
s2312,0.0011377886403352022
s2313,0.002812416758388281
s245,0.0026054924819618464
s246,0.23989079892635345
s247,0.056005802005529404
s248,0.06091497093439102
s249,0.003686939598992467
s2410,0.006009389646351337
s2411,0.004997828509658575
s2412,0.0025332800578325987
s2413,0.010793409310281277
s256,0.0009067081846296787
s257,0.004091270267963409
s258,0.027987992390990257
s259,0.0006539812311530113
s2510,0.0018605329096317291
s2511,0.0022425735369324684
s2512,0.0011072236811742187
s2513,0.0012882915325462818
s267,0.012169677764177322
s268,0.0022262742277234793
s269,0.00022294775408226997
s2610,7.83395953476429e-05
s2611,0.0001293098321184516
s2612,7.353983528446406e-05
s2613,0.00021202611969783902
s278,0.1863572746515274
s279,0.004393911920487881
s2710,0.021902674809098244
s2711,0.02595808170735836
