coalition,value
4|5|14,39266.38883431457
4|6|7,9987.264001953721
4|6|8,12829.609821129834
4|6|9,14501.897443740789
4|6|10,13685.333987301397
4|6|11,17379.765328210484
4|6|12,11327.895859460481
4|6|13,32466.331436638517
4|6|14,41632.386941846846
4|7|8,20343.033978602954
4|7|9,14711.642856120838
4|7|10,13032.733055167555
4|7|11,18621.55457275594
4|7|12,10625.67408630392
4|7|13,33961.00152053372
4|7|14,41915.306878563766
4|8|9,19229.229953759725
4|8|10,18844.42353728877
4|8|11,18699.468316846847
4|8|12,15382.809617983214
4|8|13,24055.88043760127
4|8|14,39645.67592024531
4|9|10,17509.482828210483
4|9|11,21403.262771392303
4|9|12,14718.621382187757
4|9|13,28049.894271392302
4|9|14,40127.449146392304
4|10|11,20764.236055483216
4|10|12,13448.779987301397
4|10|13,28223.61558957412
4|10|14,40173.04547593776
4|11|12,18250.716794119573
4|11|13,28189.117646392304
4|11|14,39451.90062366503
4|12|13,26138.07071457412
4|12|14,39326.06424866503
4|13|14,42808.04508957412
5|6|7,-592.2203703951091
5|6|8,5007.049359839781
5|6|9,10581.326541169408
5|6|10,11904.346066846843
5|6|11,-5900.600911211863
5|6|12,-10242.784354321084
5|6|13,32183.407536924733
5|6|14,40948.97654285695
5|7|8,4866.417387457113
5|7|9,10458.740899961293
5|7|10,9119.579268197856
5|7|11,-8850.702352017754
5|7|12,-12265.157604652202
5|7|13,30973.302475155797
5|7|14,40910.49087396838
5|8|9,15346.046365699258
5|8|10,13766.76280878498
5|8|11,-8960.872821302175
5|8|12,-7410.673158790778
5|8|13,21108.52278043071
5|8|14,37871.61431741857
5|9|10,13335.36894184685
5|9|11,17902.961180483213
5|9|12,13217.50565582412
5|9|13,25025.94649866503
5|9|14,40048.03937366503
5|10|11,17880.06190775594
5|10|12,11854.840703210484
5|10|13,26273.506771392305
5|10|14,40431.06610093776
5|11|12,-1428.6706945167898
5|11|13,22793.96141911958
5|11|14,38123.898510028666
5|12|13,24213.32558957412
5|12|14,37918.96418048321
5|13|14,42815.26283957412
6|7|8,5177.817704908637
6|7|9,10845.795748379973
