coalition,value
5|14,-0.05969049373618285
5|15,-0.0537951363301401
6|7,0.0
6|8,0.0
6|9,0.0
6|10,-0.005895357406042745
6|11,-0.030213706705969123
6|12,0.0
6|13,-0.005158437730287457
6|14,-0.0014738393515106862
6|15,0.008106116433308719
7|8,0.0
7|9,0.0
7|10,-0.005895357406042745
7|11,-0.016949152542372947
7|12,0.0
7|13,0.0
7|14,0.0007369196757552876
7|15,0.008106116433308719
8|9,-0.0014738393515106862
8|10,-0.006632277081798144
8|11,-0.025055268975681666
8|12,0.0
8|13,0.00368459837877666
8|14,-0.002210759027266085
8|15,0.008843036109064117
9|10,-0.005895357406042745
9|11,-0.022844509948415692
9|12,-0.005895357406042745
9|13,-0.0007369196757553986
9|14,-0.008843036109064117
9|15,0.0014738393515106862
10|11,-0.016949152542372947
10|12,-0.003684598378776771
10|13,-0.002210759027266085
10|14,-0.00810611643330883
10|15,0.00368459837877666
11|12,-0.04568901989683127
11|13,-0.004421518054532059
11|14,-0.01915991156963892
11|15,-0.004421518054532059
12|13,-0.0014738393515106862
12|14,-0.004421518054532059
12|15,0.007369196757553431
13|14,-0.012527634487840889
13|15,-0.0007369196757553986
14|15,0.00368459837877666
0|1|2,-0.014001473839351575
0|1|3,-0.01989683124539432
0|1|4,-0.011053795136330202
0|1|5,-0.03463522476050118
0|1|6,-0.020633750921149607
0|1|7,-0.017686072218128235
0|1|8,-0.018422991893883633
0|1|9,-0.04421518054532059
0|1|10,-0.03537214443625647
0|1|11,-0.018422991893883633
0|1|12,-0.03463522476050118
0|1|13,-0.009579955784819516
0|1|14,-0.01621223286661755
0|1|15,-0.01179071481208549
0|2|3,-0.00810611643330883
0|2|4,-0.003684598378776771
0|2|5,-0.04053058216654393
0|2|6,-0.008843036109064117
0|2|7,-0.005895357406042745
0|2|8,-0.014001473839351575
0|2|9,-0.03979366249078853
0|2|10,-0.016949152542372947
0|2|11,-0.02431834929992638
0|2|12,-0.014001473839351575
0|2|13,-0.0007369196757553986
0|2|14,-0.00810611643330883
0|2|15,-0.002210759027266085
0|3|4,-0.005158437730287457
0|3|5,-0.03610906411201187
0|3|6,-0.014001473839351575
0|3|7,-0.0029476787030213725
0|3|8,-0.013264554163596176
0|3|9,-0.04200442151805461
0|3|10,-0.02800294767870304
0|3|11,-0.026529108327192352
0|3|12,-0.020633750921149607
0|3|13,-0.01621223286661755
0|3|14,-0.01915991156963892
0|3|15,-0.014001473839351575
0|4|5,-0.041267501842299215
0|4|6,-0.005895357406042745
0|4|7,-0.008843036109064117
0|4|8,-0.008843036109064117
0|4|9,-0.03463522476050118
0|4|10,-0.012527634487840889
0|4|11,-0.02800294767870304
0|4|12,-0.006632277081798144
0|4|13,-0.012527634487840889
0|4|14,-0.017686072218128235
0|4|15,-0.009579955784819516
0|5|6,-0.041267501842299215
0|5|7,-0.049373618275608044
0|5|8,-0.03463522476050118
0|5|9,-0.008843036109064117
0|5|10,-0.020633750921149607
0|5|11,-0.013264554163596176
0|5|12,-0.03463522476050118
0|5|13,-0.03168754605747981
0|5|14,-0.0324244657332351
0|5|15,-0.028739867354458437
0|6|7,-0.003684598378776771
0|6|8,-0.00810611643330883
0|6|9,-0.03168754605747981
0|6|10,-0.012527634487840889
0|6|11,-0.020633750921149607
0|6|12,-0.013264554163596176
0|6|13,-0.01179071481208549
0|6|14,-0.013264554163596176
0|6|15,-0.006632277081798144
0|7|8,-0.007369196757553431
0|7|9,-0.02800294767870304
0|7|10,-0.01915991156963892
0|7|11,-0.03095062638172441
0|7|12,-0.00810611643330883
0|7|13,-0.013264554163596176
0|7|14,-0.020633750921149607
0|7|15,-0.011053795136330202
0|8|9,-0.03095062638172441
0|8|10,-0.01989683124539432
0|8|11,-0.01915991156963892
0|8|12,-0.014738393515106862
0|8|13,-0.009579955784819516
0|8|14,-0.015475313190862261
0|8|15,-0.009579955784819516
0|9|10,-0.02800294767870304
0|9|11,-0.009579955784819516
0|9|12,-0.0324244657332351
0|9|13,-0.02358142962417098
0|9|14,-0.025055268975681666
0|9|15,-0.02431834929992638
0|10|11,-0.014738393515106862
0|10|12,-0.021370670596905006
0|10|13,-0.014001473839351575
0|10|14,-0.015475313190862261
0|10|15,-0.016949152542372947
