coalition,value
4|8|9,833.5627532318954
5|6|7,443.71864713331615
5|6|8,991.6976028559561
5|6|9,351.84893744242163
5|7|8,833.5263867949698
5|7|9,554.4611800280527
5|8|9,898.3993509762563
6|7|8,1021.7926801115946
6|7|9,904.9611398377328
6|8|9,905.7937682694892
7|8|9,623.5519595811015
0|1|2|3,799.1960990965572
0|1|2|4,694.5067381943018
0|1|2|5,872.8670013521964
0|1|2|6,1038.179200600317
0|1|2|7,977.2957570748363
0|1|2|8,1202.6458359386625
0|1|2|9,915.9059487206173
0|1|3|4,-135.60630691848064
0|1|3|5,-10.127321956074866
0|1|3|6,370.700027667986
0|1|3|7,509.7563312550783
0|1|3|8,1179.490931427384
0|1|3|9,125.70795999881284
0|1|4|5,-619.3725099259996
0|1|4|6,-36.49660767036039
0|1|4|7,291.91792240482755
0|1|4|8,1270.4752344349026
0|1|4|9,608.5442757882865
0|1|5|6,-116.36788586584817
0|1|5|7,417.20788481084264
0|1|5|8,1090.114087818362
0|1|5|9,391.34827954768525
0|1|6|7,160.08425165013523
0|1|6|8,955.8880727807677
0|1|6|9,502.9465669328147
0|1|7|8,864.9409299236245
0|1|7|9,799.229159116931
0|1|8|9,1048.2576216529483
0|2|3|4,833.6483547356547
0|2|3|5,877.7875840589631
0|2|3|6,1057.2038246604666
0|2|3|7,1167.7560615025727
0|2|3|8,1445.3766066153541
0|2|3|9,848.6235802995643
0|2|4|5,810.7846893221217
0|2|4|6,1164.178730675505
0|2|4|7,964.0164562394143
0|2|4|8,1284.8698772920457
0|2|4|9,841.8528472168578
0|2|5|6,1036.259144209339
0|2|5|7,1018.0978848108425
0|2|5|8,1311.4888058634747
0|2|5|9,988.9639750364072
0|2|6|7,1028.4823584950532
0|2|6|8,1256.7692381943016
0|2|6|9,1091.7230351867825
0|2|7|8,1269.1262682694896
0|2|7|9,1244.2719073672342
0|2|8|9,1462.7699148860306
0|3|4|5,-0.760009925999384
0|3|4|6,545.2574336830235
0|3|4|7,262.2468509762566
0|3|4|8,951.3703660138503
0|3|4|9,429.53079834467735
0|3|5|6,521.6584863146027
0|3|5|7,153.1260427055795
0|3|5|8,1000.0873209010683
0|3|5|9,469.49850511159457
0|3|6|7,274.4905915777599
0|3|6|8,980.6299148860307
0|3|6|9,544.7725840589633
0|3|7|8,1141.573957367234
0|3|7|9,582.527020149189
0|3|8|9,1133.7217381943015
0|4|5|6,338.61047879580565
0|4|5|7,469.91036601385076
0|4|5|8,1115.6059111266322
0|4|5|9,179.89910661535396
0|4|6|7,180.90658781836146
0|4|6|8,1190.6658171416698
0|4|6|9,641.8826028559561
0|4|7|8,1014.1551592469332
0|4|7|9,727.0038058634746
0|4|8|9,1141.4571705251287
0|5|6|7,264.6693321792641
0|5|6|8,1212.0088998484366
0|5|6|9,409.3883923296398
0|5|7|8,1059.7226780439255
0|5|7|9,614.0632795476854
0|5|8|9,1070.4229787958056
0|6|7|8,983.9572269161063
0|6|7|9,812.3129939378273
0|6|8|9,1150.0814938333997
0|7|8|9,1144.449520149189
1|2|3|4,863.3418885702413
1|2|3|5,874.6698021040752
1|2|3|6,1166.2351028559556
1|2|3|7,1148.9906667657297
1|2|3|8,1446.642584058963
1|2|3|9,849.8095201491883
1|2|4|5,625.7283735326473
1|2|4|6,1090.4960239085872
1|2|4|7,949.6123584950528
1|2|4|8,1363.0321339127645
1|2|4|9,811.0889374424214
1|2|5|6,982.9583547356551
1|2|5|7,1125.3691630063317
1|2|5|8,1303.8446893221208
1|2|5|9,825.4264186454297
1|2|6|7,918.9679861057466
1|2|6|8,1379.5629599988129
1|2|6|9,1119.6865690213695
1|2|7|8,1420.8773879019038
1|2|7|9,1243.537665512597
1|2|8|9,1445.4669554039922
1|3|4|5,196.8912494724973
1|3|4|6,756.5107607506925
1|3|4|7,396.4960990965569
1|3|4|8,1131.3455915777604
1|3|4|9,408.33880586347414
1|3|5|6,604.0926968409185
1|3|5|7,380.2523584950536
1|3|5|8,792.4464374424219
1|3|5|9,431.4899148860309
1|3|6|7,674.0617804875342
1|3|6|8,1169.9489562394147
1|3|6|9,680.7132607506928
1|3|7|8,861.0848812394147
1|3|7|9,401.72485569639
1|3|8|9,965.8860802995646
1|4|5|6,373.19671939730915
1|4|5|7,445.1970765401661
1|4|5|8,882.2025652619709
1|4|5|9,277.3047269161061
1|4|6|7,-185.82095337315877
1|4|6|8,1144.5902532318955
1|4|6|9,487.0505915777603
1|4|7|8,811.2050262477687
1|4|7|9,311.9698209010685
1|4|8|9,1061.7496517281365
1|5|6|7,316.7436596646439
1|5|6|8,1205.0364562394147
1|5|6|9,326.3446517281359
1|5|7|8,961.4011246813529
1|5|7|9,708.5540690213688
1|5|8|9,983.3869261642262
1|6|7|8,1035.0376107506922
1|6|7|9,565.7744226437067
1|6|8|9,995.5638246604672
1|7|8|9,829.4349190631397
2|3|4|5,779.8278284198655
2|3|4|6,1222.355986314602
2|3|4|7,987.3906479687375
2|3|4|8,1433.1173021040759
2|3|4|9,769.4734863146018
2|3|5|6,1160.8844825552042
2|3|5|7,1173.3005539837754
2|3|5|8,1411.2535615025727
2|3|5|9,984.0325840589635
2|3|6|7,1212.7701028559559
2|3|6|8,1351.3920577431736
2|3|6|9,1095.7075276679857
2|3|7|8,1470.2645389461813
2|3|7|9,1254.977414886031
2|3|8|9,1317.5346893221208
2|4|5|6,1306.5028848108427
2|4|5|7,1061.1283735326474
2|4|5|8,1302.4318133822717
2|4|5|9,833.3324148860306
2|4|6|7,1042.293599096557
2|4|6|8,1233.1628660138504
2|4|6|9,1214.8956103747528
2|4|7|8,1295.3813847064152
2|4|7|9,1240.2151592469331
2|4|8|9,1352.7490314273844
2|5|6|7,1192.1217006003167
2|5|6|8,1405.041982555204
2|5|6|9,1194.6105539837754
2|5|7|8,1402.14331714167
2|5|7|9,1322.4578096228734
2|5|8|9,1396.0219073672338
2|6|7|8,1376.9940690213696
2|6|7|9,1276.7734675176098
2|6|8|9,1320.9347269161062
2|7|8|9,1466.7683735326475
3|4|5|6,639.4515126303922
3|4|5|7,403.45074195370034
3|4|5|8,893.4603848108427
3|4|5|9,407.1034111266322
3|4|6|7,572.4155727807679
3|4|6|8,1082.1004599988128
3|4|6|9,572.8603472168579
3|4|7|8,926.1668509762567
3|4|7|9,406.0690690213687
3|4|8|9,761.8702532318953
3|5|6|7,402.20284721685766
3|5|6|8,1056.8096705251287
3|5|6|9,502.8448396980607
3|5|7|8,987.6864562394144
3|5|7|9,509.90344872061723
3|5|8|9,1010.213899848437
3|6|7|8,867.196963758212
3|6|7|9,688.8672269161061
3|6|8|9,897.0118133822712
3|7|8|9,978.4635239085874
4|5|6|7,677.914332179264
4|5|6|8,813.239407367234
4|5|6|9,603.9617945852788
4|5|7|8,696.1651216529481
4|5|7|9,852.0704787958057
4|5|8|9,862.8627156379107
4|6|7|8,1009.5876968409179
4|6|7|9,806.8409111266324
4|6|8|9,1075.2022645100915
4|7|8|9,670.5861742845268
5|6|7|8,975.2135615025722
5|6|7|9,855.2232043597146
5|6|8|9,1015.2808923296398
5|7|8|9,967.0617006003163
6|7|8|9,964.5976780439255
0|1|2|3|4,911.7512306755043
0|1|2|3|5,972.7801968409185
0|1|2|3|6,1147.194050224377
0|1|2|3|7,1251.1763810514444
0|1|2|3|8,1506.3962494724967
0|1|2|3|9,830.8830915777603
0|1|2|4|5,868.4383359386625
0|1|2|4|6,1207.779256991294
0|1|2|4|7,1145.5552532318957
0|1|2|4|8,1352.1185802995644
0|1|2|4|9,900.6251216529486
0|1|2|5|6,1135.3817381943013
0|1|2|5|7,1091.2462306755046
0|1|2|5|8,1343.9494825552042
0|1|2|5|9,963.9462494724971
0|1|2|6|7,1121.8414374424224
0|1|2|6|8,1308.6544449612188
0|1|2|6|9,1222.818129171745
0|1|2|7|8,1224.1742569912944
0|1|2|7|9,1277.7015314273845
0|1|2|8|9,1490.8191254123465
0|1|3|4|5,159.4046517281363
0|1|3|4|6,779.6018885702415
0|1|3|4|7,748.1970953371588
0|1|3|4|8,1096.293429923625
0|1|3|4|9,367.086775788287
0|1|3|5|6,680.4307231567077
0|1|3|5|7,545.3463998484367
0|1|3|5|8,1026.912358495054
0|1|3|5|9,502.40418180332426
0|1|3|6|7,497.6229975927977
0|1|3|6|8,1050.383429923625
0|1|3|6|9,784.1346705251285
0|1|3|7|8,1169.546446089038
0|1|3|7|9,744.086982555204
0|1|3|8|9,1228.8492006003166
0|1|4|5|6,311.416155487535
0|1|4|5|7,618.2744449612192
0|1|4|5|8,1222.756080299565
0|1|4|5|9,326.6863998484364
0|1|4|6|7,145.2456103747527
0|1|4|6|8,1323.2721517281361
0|1|4|6|9,598.1600276679856
0|1|4|7|8,1202.4175840589633
0|1|4|7|9,762.5198209010687
0|1|4|8|9,1245.931794585279
0|1|5|6|7,285.228862254452
0|1|5|6|8,1268.0116818033243
0|1|5|6|9,343.76534721685766
0|1|5|7|8,1224.1105351867827
0|1|5|7|9,755.039651728136
0|1|5|8|9,1041.6262870664818
0|1|6|7|8,957.2401968409181
0|1|6|7|9,707.2373673714105
0|1|6|8|9,1188.807565261971
0|1|7|8|9,1170.4760051115954
0|2|3|4|5,865.7379975927975
